--TAB SEPARATED DATA FILE--
CAMERA SETTINGS:
Resolution = (820, 616)
Shutter speed = 499907 microseconds
LED CYCLE:
Blue Illumination: 300s
Green Illumination: 1s
Number of Cycles: 0 <-- (0 is continuous loop)

ITERATION	DATE	TIME	TEMPERATURE	HUMIDITY	ISO	ANALOG GAIN	DIGITAL GAIN	
165	2019_12_12	09:03:55	28.0	56.0	100	2521/256	11/256
165	2019_12_12	09:03:55	28.0	56.0	800	331/128	11/256
166	2019_12_12	09:09:10	28.0	56.0	100	2521/256	11/256
166	2019_12_12	09:09:10	28.0	56.0	800	331/128	11/256
167	2019_12_12	09:14:28	28.0	56.0	100	2521/256	11/256
167	2019_12_12	09:14:28	28.0	57.0	800	331/128	11/256
168	2019_12_12	09:22:00	28.0	57.0	100	2521/256	11/256
168	2019_12_12	09:22:00	28.0	56.0	800	331/128	11/256
169	2019_12_12	09:27:14	28.0	56.0	100	2521/256	11/256
169	2019_12_12	09:27:14	28.0	56.0	800	331/128	11/256
170	2019_12_12	09:32:32	28.0	57.0	100	2521/256	11/256
170	2019_12_12	09:32:32	28.0	57.0	800	331/128	11/256
171	2019_12_12	09:40:09	28.0	56.0	100	2521/256	11/256
171	2019_12_12	09:40:09	28.0	56.0	800	331/128	11/256
172	2019_12_12	09:45:27	28.0	56.0	100	2521/256	11/256
172	2019_12_12	09:45:27	28.0	57.0	800	331/128	11/256
173	2019_12_12	09:50:39	28.0	57.0	100	2521/256	11/256
173	2019_12_12	09:50:39	28.0	56.0	800	331/128	11/256
174	2019_12_12	09:58:11	28.0	57.0	100	2521/256	11/256
174	2019_12_12	09:58:11	28.0	57.0	800	331/128	11/256
175	2019_12_12	10:03:24	28.0	57.0	100	2521/256	11/256
175	2019_12_12	10:03:24	28.0	57.0	800	331/128	11/256
176	2019_12_12	10:08:40	28.0	57.0	100	2521/256	11/256
176	2019_12_12	10:08:40	28.0	57.0	800	331/128	11/256
177	2019_12_12	10:16:15	28.0	56.0	100	2521/256	11/256
177	2019_12_12	10:16:15	28.0	57.0	800	331/128	11/256
178	2019_12_12	10:21:29	28.0	57.0	100	2521/256	11/256
178	2019_12_12	10:21:29	28.0	57.0	800	331/128	11/256
179	2019_12_12	10:26:47	28.0	56.0	100	2521/256	11/256
179	2019_12_12	10:26:47	28.0	57.0	800	331/128	11/256
180	2019_12_12	10:34:24	28.0	57.0	100	2521/256	11/256
180	2019_12_12	10:34:24	28.0	57.0	800	331/128	11/256
181	2019_12_12	10:39:42	28.0	57.0	100	2521/256	11/256
181	2019_12_12	10:39:42	28.0	57.0	800	331/128	11/256
182	2019_12_12	10:45:00	28.0	57.0	100	2521/256	11/256
182	2019_12_12	10:45:00	28.0	57.0	800	331/128	11/256
183	2019_12_12	10:52:54	28.0	57.0	100	2521/256	11/256
183	2019_12_12	10:52:54	28.0	57.0	800	331/128	11/256
184	2019_12_12	10:58:08	28.0	57.0	100	2521/256	11/256
184	2019_12_12	10:58:08	28.0	56.0	800	331/128	11/256
185	2019_12_12	11:03:26	28.0	56.0	100	2521/256	11/256
185	2019_12_12	11:03:26	28.0	57.0	800	331/128	11/256
186	2019_12_12	11:11:03	28.0	57.0	100	2521/256	11/256
186	2019_12_12	11:11:03	28.0	56.0	800	331/128	11/256
187	2019_12_12	11:16:21	28.0	57.0	100	2521/256	11/256
187	2019_12_12	11:16:21	28.0	57.0	800	331/128	11/256
188	2019_12_12	11:21:34	28.0	57.0	100	2521/256	11/256
188	2019_12_12	11:21:34	28.0	57.0	800	331/128	11/256
189	2019_12_12	11:29:26	28.0	57.0	100	2521/256	11/256
189	2019_12_12	11:29:26	28.0	58.0	800	331/128	11/256
190	2019_12_12	11:34:39	28.0	57.0	100	2521/256	11/256
190	2019_12_12	11:34:39	28.0	58.0	800	331/128	11/256
191	2019_12_12	11:39:53	28.0	57.0	100	2521/256	11/256
191	2019_12_12	11:39:53	28.0	57.0	800	331/128	11/256
192	2019_12_12	11:47:45	28.0	58.0	100	2521/256	11/256
192	2019_12_12	11:47:45	28.0	57.0	800	331/128	11/256
193	2019_12_12	11:53:02	28.0	58.0	100	2521/256	11/256
193	2019_12_12	11:53:02	28.0	57.0	800	331/128	11/256
194	2019_12_12	11:58:23	28.0	58.0	100	2521/256	11/256
194	2019_12_12	11:58:23	28.0	58.0	800	331/128	11/256
195	2019_12_12	12:06:18	28.0	58.0	100	2521/256	11/256
195	2019_12_12	12:06:18	28.0	58.0	800	331/128	11/256
196	2019_12_12	12:11:34	28.0	58.0	100	2521/256	11/256
196	2019_12_12	12:11:34	28.0	58.0	800	331/128	11/256
